Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-07-20,2021-07-20,2021-08-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,NEW,SETTLED,FR,2021-08-20
2021-07-20,2021-07-20,2021-08-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,APPROVED,SETTLED,FR,2021-08-20
2021-07-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,APPROVED,,FR,
2021-07-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,NEW,,FR,
2021-06-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,APPROVED,,FR,
2021-06-20,2021-06-20,2021-07-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,APPROVED,SETTLED,FR,2021-07-20
2021-06-20,2021-06-20,2021-07-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,NEW,SETTLED,FR,2021-07-20
2021-06-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,NEW,,FR,
2021-05-26,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,1.0,VALIDATE,APPROVED,,FR,
2021-05-26,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,7.99,CAPTURE,APPROVED,,FR,
2021-05-26,2021-05-26,2021-06-25,SUBSCRIPTION,PAYPAL,,,PAYPAL,7.99,EUR,1.33,7.99,CAPTURE,APPROVED,SETTLED,FR,2021-06-26
2021-05-26,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,7.99,CHARGE,APPROVED,,FR,
2021-05-26,2021-05-26,2021-06-25,SUBSCRIPTION,PAYPAL,,,PAYPAL,7.99,EUR,1.33,7.99,CHARGE,APPROVED,SETTLED,FR,2021-06-26
